Division;Club;Player;Best Pos;Sec. Position;Position;Age;Height;Wage;Transfer Value;Left Foot;Right Foot;Rating;PoM;Minutes;Goals;Mins/Gl;Goals per 90 minutes;xG;NP-xG;xG-OP;xG/90;Conv %;xG/shot;Shot/90;ShT/90;Shots From Outside The Box Per 90 minutes;Shot %;Goals From Outside The Box;Pens;Pen/R;Assists;Asts/90;xA;xA/90;Pas %;Ps A/90;Ch C/90;OP-KP/90;Pr passes/90;Crs A/90;Cr C/90;Cr C/A;OP-Crs A/90;OP-Crs C/90;OP-Cr %;Drb/90;Fouls Against;Off;Poss Lost/90;Poss Won/90;Tck/90;Int/90;Pres A/90;Tck R;Tck A;K Tck;Blk/90;Clr/90;Shts Blckd/90;Fouls Made;Yel;Red cards;Dist/90;Sprints/90;Recurring Injury;Injury Susceptibility;Aer A/90;Hdr %;K Hdrs/90;Clean Sheets;xGP;MLG;Sv %;Svh;Svp;Svt;Goals Conceded;Pens Faced;Pens Saved Ratio;Tgls/90;Tcon/90
First Division;Oviedo;Haissem Hassan;AM (R);M (R);M (R), AM (RL);24;"5'10""";£6.25K - £10.25K p/w;£11.5M - £18.5M;Very Strong;Reasonable;7.10;3;1364;3;454.666666666667;0.2;2.71;2.71;0.29;0.2;10%;0.093448275862069;1.9;0.9;0.9;45%;0;0;0;4;0.3;3.25;0.2;88%;49.8;0.5;2.0;4.8;3.4;0.8;23;3.0;0.7;22;4.8;21;9;14.6;3.6;1.1;1.8;8.7;85;20;0;0.4;0.5;0.0;20;2;0;11.2;12.8;No recurring injuries;Average;4.2;23;0.1;0;0;0;0;0;0;0;0;0;0;1.1;1.9
Eredivisie;Feyenoord;Leo Sauer;AM (L);M (RL), AM (C);M (RL), AM (RLC);20;"6'0""";£20K - £30.5K p/w;£30M - £37M;Weak;Very Strong;6.74;1;1368;3;456;0.2;3.83;3.83;-0.83;0.3;7%;0.0870454545454546;2.9;1.0;1.2;34%;1;0;0;2;0.1;2.1;0.1;90%;49.4;0.4;1.3;3.7;3.6;0.7;20;3.6;0.7;20;5.5;23;6;12.0;7.3;2.0;2.0;10.2;76;41;0;0.4;0.5;0.1;19;1;0;12.0;15.5;No recurring injuries;Below Average;3.9;53;0.1;0;0;0;0;0;0;0;0;0;0;1.4;1.0
Sky Bet Championship;Cardiff;Alex Robertson;AM (C);;M/AM (C);23;"6'0""";£11.75K - £17K p/w;£3.5M - £5.8M;Reasonable;Very Strong;6.58;0;1381;3;460.333333333333;0.2;2.02;2.02;0.98;0.1;23%;0.155384615384615;0.8;0.3;0.3;38%;0;1;100;3;0.2;2.66;0.2;0%;0.0;0.3;0.2;0.0;2.2;0.5;20;0.0;0.0;0;0.0;5;0;14.6;10.9;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;2;2;0;0.0;0.0;No recurring injuries;Average;0.0;0;0.0;0;0;0;0;0;0;0;0;0;0;1.4;1.1
Sky Bet Championship;Stockport;Salvi Sánchez;AM (R);;M/AM (R);35;"5'9""";£4.4K - £6.25K p/w;£250K - £800K;Fairly Strong;Very Strong;6.89;1;1383;3;461;0.2;2.29;2.29;0.71;0.1;12%;0.0916;1.6;0.7;0.3;40%;0;0;0;1;0.1;2.7;0.2;87%;40.0;0.3;2.2;3.9;2.4;0.2;8;2.4;0.2;8;3.5;16;5;20.6;4.8;1.7;2.0;10.4;68;38;1;0.1;0.8;0.0;13;0;0;11.6;14.4;No recurring injuries;Average;3.6;22;0.0;0;0;0;0;0;0;0;0;0;0;1.4;1.6
Ligue 1 McDonald's;AS Monaco;Motohiko Nakajima;ST (C);M (C), AM (LC);M (C), AM (LC), ST (C);27;"5'7""";£15.5K - £19K p/w;£190K - £1.9M;Reasonable;Very Strong;6.65;0;1390;3;463.333333333333;0.2;4.3;4.3;-1.3;0.3;9%;0.126470588235294;2.2;1.4;0.6;65%;0;0;0;0;0.0;0.76;0.0;89%;26.1;0.1;1.2;0.9;1.7;0.2;11;0.6;0.1;22;0.8;20;12;18.4;1.8;0.1;0.8;2.1;67;3;0;0.1;0.1;0.0;15;0;0;10.3;6.4;No recurring injuries;Average;7.1;21;0.0;0;0;0;0;0;0;0;0;0;0;1.2;0.9
Sky Bet Championship;Burnley;Loum Tchaouna;AM (R);M (RL), AM (C);M (RL), AM (RLC);23;"5'11""";£20K - £23K p/w;£14.5M - £21M;Very Strong;Reasonable;7.06;2;1854;4;463.5;0.2;6.82;6.82;-2.82;0.3;7%;0.117586206896552;2.8;0.9;1.0;33%;1;0;0;0;0.0;2.23;0.1;90%;46.8;0.3;2.2;4.9;3.3;0.8;24;3.3;0.8;25;2.8;24;10;14.2;4.6;1.7;1.7;9.8;76;45;0;0.2;0.5;0.0;17;0;0;12.2;15.6;No recurring injuries;Low;2.9;42;0.0;0;0;0;0;0;0;0;0;0;0;1.4;0.8
Jupiler Pro League;KAA Gent;Mathias Delorge;M (C);;DM, M (C);22;"6'2""";£2.2K - £3.9K p/w;£7.4M - £12M;Very Strong;Reasonable;6.54;0;1473;3;491;0.2;2.12;2.12;0.88;0.1;15%;0.106;1.2;0.4;0.3;35%;0;0;0;2;0.1;4.29;0.3;0%;0.0;0.2;0.1;0.0;0.0;0.0;0;0.0;0.0;0;0.0;6;0;13.3;12.6;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;1;1;0;0.0;0.0;No recurring injuries;Average;0.0;0;0.0;0;0;0;0;0;0;0;0;0;0;1.0;1.3
Second Division;Las Palmas;Manu Fuster;AM (L);;AM (LC);29;"5'7""";£5.75K - £9K p/w;£4.7M - £7.6M;Fairly Strong;Very Strong;6.95;0;1482;3;494;0.2;4.6;4.6;-1.6;0.3;6%;0.0901960784313725;3.1;1.2;1.2;39%;5;0;0;2;0.1;3.12;0.2;89%;42.9;0.7;1.8;3.2;9.0;2.0;22;2.2;0.6;27;2.2;27;8;14.8;4.6;1.9;1.9;8.3;91;35;1;0.2;0.4;0.1;14;0;0;11.1;12.2;No recurring injuries;Below Average;3.0;12;0.0;0;0;0;0;0;0;0;0;0;0;1.2;1.0
Sky Bet Championship;Cardiff;Rubin Colwill;AM (L);M (C);M (C), AM (LC);24;"6'2""";£27K - £30.5K p/w;£6M - £9.2M;Reasonable;Very Strong;6.78;1;1513;3;504.333333333333;0.2;2.82;2.82;0.18;0.2;12%;0.108461538461538;1.5;0.7;0.4;42%;2;0;0;1;0.1;2.91;0.2;87%;42.6;0.1;1.4;2.9;2.4;0.5;19;2.0;0.4;18;4.3;18;7;19.5;5.2;2.0;2.0;9.3;85;39;1;0.4;0.5;0.0;13;1;0;11.3;13.4;No recurring injuries;Above Average;4.9;54;0.2;0;0;0;0;0;0;0;0;0;0;1.4;1.4
Bundesliga 2;FC Schalke 04;Adil Aouchiche;AM (C);AM (L);M (C), AM (LC);24;"5'11""";£18.75K - £26.5K p/w;£2.1M - £4.5M;Reasonable;Very Strong;6.89;1;1013;2;506.5;0.2;2.84;2.03;-0.84;0.3;7%;0.101428571428571;2.5;1.4;0.8;57%;0;2;50;0;0.0;2;0.2;88%;40.3;0.4;2.0;3.2;5.4;1.0;18;1.0;0.2;18;1.5;3;2;18.7;8.8;0.3;1.3;4.6;43;7;0;0.4;0.4;0.0;6;1;0;12.2;12.1;No recurring injuries;Average;4.3;23;0.0;0;0;0;0;0;0;0;0;0;0;0.9;0.7
Sky Bet Championship;Bristol City;Yu Hirakawa;AM (R);M (R), AM (C);M (R), AM (RLC);25;"5'7""";£10K - £11K p/w;£500K - £5.8M;Fairly Strong;Very Strong;6.82;1;1528;3;509.333333333333;0.2;2.63;2.63;0.37;0.2;13%;0.114347826086957;1.4;0.4;0.5;30%;0;0;0;4;0.2;6.8;0.4;89%;39.9;0.6;1.3;5.0;3.1;1.2;38;3.1;1.2;38;2.4;15;0;13.4;5.7;1.7;2.4;11.9;67;43;0;0.0;0.6;0.0;19;3;0;11.3;10.6;No recurring injuries;Below Average;2.1;8;0.0;0;0;0;0;0;0;0;0;0;0;1.7;0.8
Second Division;Almería;Daijiro Chirino;D (R);WB (R), DM;D (RC), WB (R), DM;24;"6'1""";£21K - £26K p/w;£900K;Reasonable;Very Strong;6.73;0;1021;2;510.5;0.2;0.52;0.52;1.48;0.0;40%;0.104;0.4;0.2;0.0;40%;0;0;0;0;0.0;0.5;0.0;92%;42.0;0.2;0.0;1.7;0.1;0.0;0;0.1;0.0;0;0.3;6;0;3.0;14.7;0.3;3.8;1.9;75;4;0;0.7;1.1;0.4;4;2;0;11.1;5.4;No recurring injuries;Below Average;4.1;57;0.3;0;0;0;0;0;0;0;0;0;0;1.1;1.0
First Division;Elche;Germán Valera;AM (L);M (L), ST (C);M/AM (RL), ST (C);24;"5'7""";£36K - £51K p/w;£19M - £31M;Very Strong;Weak;6.83;1;1026;2;513;0.2;1.91;1.91;0.09;0.2;12%;0.112352941176471;1.5;0.5;0.6;35%;1;0;0;1;0.1;0.85;0.1;88%;49.2;0.0;1.8;4.3;2.4;0.5;22;2.4;0.5;22;3.6;13;5;23.9;3.2;1.2;2.1;10.1;82;17;0;0.2;0.8;0.0;13;1;0;12.5;14.3;No recurring injuries;Average;2.9;3;0.0;0;0;0;0;0;0;0;0;0;0;0.8;2.0
Second Division;S. Gijón;Àlex Corredera;M (C);;DM, M (C);30;"5'11""";£18K - £26K p/w;£275K - £2.7M;Very Strong;Reasonable;6.47;0;1027;2;513.5;0.2;2.15;2.15;-0.15;0.2;7%;0.0796296296296296;2.4;0.9;0.6;37%;0;0;0;2;0.2;2.08;0.2;0%;0.0;0.4;0.2;0.0;7.8;1.1;14;0.0;0.0;0;0.0;11;0;10.9;15.9;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;5;3;1;0.0;0.0;No recurring injuries;Average;0.0;0;0.0;0;0;0;0;0;0;0;0;0;0;1.8;1.0
Serie A;Udinese;Iker Bravo;ST (C);AM (R);AM (RC), ST (C);21;"6'0""";£19.5K - £28K p/w;£9.8M - £12M;Reasonable;Very Strong;6.89;0;1049;2;524.5;0.2;2.76;2.76;-0.76;0.2;8%;0.115;2.1;1.1;0.3;54%;0;0;0;1;0.1;0.41;0.0;90%;36.7;0.1;1.0;1.9;1.3;0.2;13;1.3;0.2;13;3.3;12;5;21.0;3.3;0.4;1.7;5.4;83;6;0;0.3;0.4;0.0;10;1;0;10.3;10.2;No recurring injuries;Very Low;5.7;39;0.1;0;0;0;0;0;0;0;0;0;0;0.9;1.2
Ligue 2 BKT;Montpellier;William Balikwisha;AM (L);M (L), AM (C);M/AM (LC);27;"5'9""";£1.6K - £2.8K p/w;£450K - £4.4M;Weak;Very Strong;6.99;2;1052;2;526;0.2;1.87;1.87;0.13;0.2;15%;0.143846153846154;1.1;0.3;0.4;31%;1;0;0;0;0.0;0.38;0.0;85%;42.9;0.0;1.3;2.8;3.3;0.5;15;3.3;0.5;15;3.3;12;6;14.1;6.4;1.0;2.8;10.9;67;18;0;0.2;0.4;0.0;15;0;0;11.2;14.6;No recurring injuries;Below Average;3.9;24;0.0;0;0;0;0;0;0;0;0;0;0;1.2;0.9
Jupiler Pro League;Union SG;Mohammed Fuseini;AM (L), ST (C);AM (R);AM (RL), ST (C);24;"5'7""";£11.5K - £19K p/w;£9M - £15M;Fairly Strong;Very Strong;6.97;1;1062;2;531;0.2;2.34;2.34;-0.34;0.2;9%;0.106363636363636;1.9;0.8;0.8;41%;0;0;0;3;0.3;3.02;0.3;88%;44.3;0.6;1.4;3.6;3.5;0.6;17;3.5;0.6;17;3.7;14;8;18.1;5.8;2.2;2.9;12.8;84;31;1;0.2;0.7;0.1;19;2;0;12.1;15.3;No recurring injuries;High;3.8;4;0.0;0;0;0;0;0;0;0;0;0;0;1.2;1.2
First Division;Levante;Roger Brugué;AM (R);AM (C), ST (C);AM (RLC), ST (C);30;"5'9""";£22K - £34K p/w;£3.6M - £7.4M;Very Strong;Fairly Strong;6.87;2;1074;2;537;0.2;1.44;1.44;0.56;0.1;18%;0.130909090909091;0.9;0.5;0.2;55%;0;1;100;1;0.1;1.24;0.1;87%;43.3;0.2;3.2;5.0;4.1;1.3;30;4.1;1.3;31;3.8;10;2;20.9;3.9;2.2;1.8;9.6;87;30;1;0.2;0.7;0.0;12;0;0;11.8;16.3;No recurring injuries;Average;3.4;50;0.0;0;0;0;0;0;0;0;0;0;0;0.7;1.8
Sky Bet Championship;Watford;Rocco Vata;AM (L);M/AM (R), ST (C);M (R), AM (RL), ST (C);21;"5'9""";£14.75K - £16.5K p/w;£2.5M - £4.8M;Fairly Strong;Very Strong;6.99;0;1074;2;537;0.2;3.96;3.96;-1.96;0.3;8%;0.1584;2.1;1.2;0.7;56%;3;0;0;2;0.2;1.12;0.1;88%;44.2;0.3;1.4;3.5;6.0;1.1;18;2.3;0.3;15;4.5;13;6;21.0;3.6;1.3;2.5;10.0;83;18;0;0.2;0.4;0.0;9;0;0;11.6;13.4;No recurring injuries;Low;4.2;30;0.0;0;0;0;0;0;0;0;0;0;0;1.2;1.3
Premier League;Moreirense;Alan;AM (C);;AM (C), ST (C);26;"5'4""";£4.7K - £7.25K p/w;Unknown;Very Weak;Very Weak;6.84;0;1094;2;547;0.2;4.4;4.4;-2.4;0.4;7%;0.157142857142857;2.3;1.2;0.5;54%;1;0;0;3;0.2;1.36;0.1;86%;27.6;0.2;1.6;1.2;5.9;1.0;16;0.1;0.1;100;1.0;36;11;20.4;1.8;0.0;0.7;1.2;0;3;0;0.1;0.1;0.0;13;0;0;10.0;5.7;No recurring injuries;Below Average;6.0;30;0.0;0;0;0;0;0;0;0;0;0;0;0.9;1.1
Sky Bet Championship;Southampton;Jay Robinson;AM (L);AM (RC);AM (RLC);19;"5'10""";£5.25K - £7.75K p/w;£10.5M - £13M;Fairly Strong;Very Strong;6.84;1;1097;2;548.5;0.2;2.38;2.38;-0.38;0.2;7%;0.085;2.3;0.8;0.7;36%;0;0;0;2;0.2;2.12;0.2;88%;41.5;0.1;1.2;3.2;2.1;0.6;28;2.1;0.6;28;4.3;9;4;14.4;5.6;1.6;2.4;8.7;83;24;0;0.2;0.3;0.0;11;1;0;10.4;13.6;No recurring injuries;Below Average;5.0;34;0.1;0;0;0;0;0;0;0;0;0;0;0.8;0.7
Eredivisie;FC Utrecht;Miguel Rodríguez;AM (R);AM (L), ST (C);AM (RL), ST (C);23;"5'10""";£2.7K - £4.4K p/w;£10M - £16.5M;Very Strong;Fairly Strong;6.99;1;1115;2;557.5;0.2;5.95;5.95;-3.95;0.5;6%;0.1859375;2.6;0.8;0.8;31%;0;0;0;0;0.0;2.36;0.2;89%;43.7;0.2;2.4;4.1;4.7;1.4;29;3.5;1.2;35;3.0;11;10;15.7;4.7;1.2;1.4;8.7;65;23;0;0.2;0.6;0.0;22;1;0;11.9;14.9;No recurring injuries;Below Average;2.9;17;0.0;0;0;0;0;0;0;0;0;0;0;1.3;1.0
Sky Bet Championship;Watford;Víctor Meseguer;M (C);DM, AM (C);DM, M/AM (C);27;"6'0""";£17K - £24K p/w;£800K - £8M;Reasonable;Very Strong;6.83;0;1683;3;561;0.2;1.79;1.79;1.21;0.1;17%;0.0994444444444444;1.0;0.3;0.4;33%;0;0;0;1;0.1;3.22;0.2;92%;47.5;0.4;0.9;4.7;3.3;0.5;14;0.4;0.1;14;0.6;11;6;10.6;9.4;0.5;2.4;5.1;60;15;0;0.4;0.5;0.1;13;1;0;11.9;12.2;No recurring injuries;Average;3.0;50;0.1;0;0;0;0;0;0;0;0;0;0;1.1;1.4
Sky Bet Championship;West Brom;Isaac Price;AM (C);AM (R);M (C), AM (RC);23;"5'10""";£11K - £12.5K p/w;£6.2M - £7.6M;Reasonable;Very Strong;6.67;0;1125;2;562.5;0.2;5.6;5.6;-3.6;0.4;7%;0.186666666666667;2.4;1.0;0.5;43%;2;0;0;0;0.0;1.3;0.1;91%;42.7;0.3;1.6;2.8;1.8;0.2;13;1.8;0.2;14;1.9;9;6;17.7;12.8;0.4;1.5;5.0;50;10;0;0.2;0.3;0.0;8;0;0;12.3;11.1;No recurring injuries;High;5.1;34;0.1;0;0;0;0;0;0;0;0;0;0;1.2;0.8
Premier League;Arouca;Alfonso Trezza;AM (R);AM (L), ST (C);M (R), AM (RL), ST (C);27;"5'7""";£4.3K - £6.25K p/w;Unknown;Very Weak;Very Weak;6.86;1;1131;2;565.5;0.2;2.67;2.67;-0.67;0.2;8%;0.1068;2.0;0.8;0.7;40%;1;0;0;1;0.1;1.57;0.1;92%;41.7;0.2;2.0;3.3;3.7;0.6;17;2.6;0.5;18;4.1;13;7;17.3;4.9;1.6;1.6;9.5;87;23;1;0.2;0.5;0.0;20;1;0;11.3;16.0;No recurring injuries;Average;3.7;26;0.0;0;0;0;0;0;0;0;0;0;0;1.5;0.9
Ligue 1 McDonald's;Rennes;Ludovic Blas;AM (C);AM (RL);M (C), AM (RLC);28;"5'11""";£39.5K - £54K p/w;£9M - £11M;Very Strong;Reasonable;6.94;1;1140;2;570;0.2;2.72;2.72;-0.72;0.2;8%;0.104615384615385;2.1;0.3;0.5;15%;1;0;0;4;0.3;1.7;0.1;86%;44.1;0.2;1.6;2.9;1.4;0.3;22;1.0;0.2;23;1.2;5;0;13.9;10.0;0.8;1.7;5.8;83;12;0;0.2;0.3;0.0;4;1;0;11.9;10.3;No recurring injuries;Below Average;2.8;14;0.1;0;0;0;0;0;0;0;0;0;0;1.2;1.1
Bundesliga 2;Hertha BSC;Michaël Cuisance;AM (C);DM, AM (R);DM, M (C), AM (RC);27;"5'11""";£14K - £21K p/w;£600K - £6.2M;Very Strong;Weak;6.87;0;1140;2;570;0.2;2.75;2.75;-0.75;0.2;7%;0.101851851851852;2.1;0.9;0.9;41%;0;0;0;1;0.1;2.91;0.2;88%;49.9;0.1;2.1;3.6;5.0;1.3;26;1.1;0.2;14;1.3;9;7;16.5;15.0;0.6;1.2;5.1;70;10;0;0.0;0.0;0.0;11;0;0;11.8;12.2;No recurring injuries;Above Average;2.8;25;0.0;0;0;0;0;0;0;0;0;0;0;1.5;0.9
Eredivisie;Fortuna Sittard;Samuel Bastien;M (C);;DM, M (C);30;"5'9""";£3K - £5K p/w;£450K - £4.5M;Weak;Very Strong;6.93;0;1189;2;594.5;0.2;0.74;0.74;1.26;0.1;20%;0.074;0.8;0.2;0.2;30%;0;0;0;1;0.1;1.71;0.1;93%;51.2;0.2;0.7;5.7;0.7;0.1;11;0.1;0.1;100;0.2;9;1;5.3;14.4;0.9;2.1;6.1;86;14;0;0.8;0.8;0.2;8;0;0;12.0;11.9;No recurring injuries;Very High;2.0;59;0.1;0;0;0;0;0;0;0;0;0;0;1.1;0.8
Sky Bet Championship;Swansea;Ronald;AM (R);;AM (RL);25;"5'10""";£19.25K - £25.5K p/w;£6.8M - £8.8M;Reasonable;Very Strong;7.10;1;1790;3;596.666666666667;0.2;5.67;5.67;-2.67;0.3;7%;0.123260869565217;2.3;0.9;0.9;37%;2;0;0;1;0.1;2.05;0.1;88%;43.1;0.1;2.0;3.3;3.2;0.7;22;3.2;0.7;22;4.6;20;4;20.9;4.7;1.4;2.5;9.3;79;34;1;0.2;0.6;0.0;18;2;0;11.3;13.2;No recurring injuries;Above Average;3.2;38;0.1;0;0;0;0;0;0;0;0;0;0;1.3;1.3
Sky Bet Championship;Derby;Derry Murkin;AM (L);;D/WB/M/AM (L);27;"6'0""";£20.5K - £28.5K p/w;£3.5M - £5.8M;Very Strong;Weak;6.97;2;1791;3;597;0.2;5.75;5.75;-2.75;0.3;7%;0.136904761904762;2.1;0.8;0.9;36%;1;0;0;2;0.1;2.34;0.1;88%;42.5;0.2;1.6;3.2;2.9;0.5;17;2.9;0.5;18;4.0;19;13;18.3;6.0;2.0;2.2;8.9;89;45;1;0.3;0.4;0.1;31;0;0;11.0;14.9;No recurring injuries;Average;4.7;37;0.0;0;0;0;0;0;0;0;0;0;0;0.9;0.8
Bundesliga 2;1. FC Heidenheim 1846;Krisztián Lisztes;AM (L);M (L), AM (R);M (L), AM (RLC);21;"6'0""";£14.75K - £16.75K p/w;Not for Sale;Reasonable;Very Strong;6.91;2;1217;2;608.5;0.1;2.46;2.46;-0.46;0.2;11%;0.129473684210526;1.4;0.7;0.5;53%;3;0;0;5;0.4;2.65;0.2;90%;45.5;0.5;1.4;2.5;2.6;0.6;22;2.6;0.6;23;4.1;17;8;18.0;4.8;1.3;1.5;10.2;86;21;0;0.5;0.6;0.0;15;1;0;11.6;12.7;No recurring injuries;Above Average;3.8;39;0.1;0;0;0;0;0;0;0;0;0;0;1.4;0.9
Eredivisie;FC Twente;Sondre Ørjasæter;AM (L);M (RL), AM (R);M/AM (RL);23;"5'11""";£5.75K - £9.5K p/w;£5.6M - £7.2M;Weak;Very Strong;7.21;2;1243;2;621.5;0.1;3.41;3.41;-1.41;0.2;6%;0.1065625;2.3;0.7;0.8;31%;1;0;0;1;0.1;1.62;0.1;91%;42.4;0.1;2.2;3.7;2.5;0.4;14;2.5;0.4;14;4.6;24;3;15.2;4.9;1.2;2.1;9.5;68;25;0;0.3;0.7;0.0;10;0;0;11.8;13.7;No recurring injuries;Below Average;3.4;26;0.0;0;0;0;0;0;0;0;0;0;0;1.3;0.9
Second Division;Zaragoza;Valery;AM (L);D/M (RL), AM (R);D/WB/M/AM (RL);27;"5'10""";£10K - £11.5K p/w;£325K - £3.2M;Fairly Strong;Very Strong;6.82;1;1253;2;626.5;0.1;1.96;1.96;0.04;0.1;11%;0.103157894736842;1.4;0.6;0.5;47%;0;0;0;1;0.1;1.6;0.1;88%;43.3;0.2;1.5;2.7;2.3;0.6;28;2.3;0.6;28;3.4;10;9;17.5;5.0;1.4;1.7;9.4;67;30;0;0.3;0.5;0.0;15;1;0;11.2;13.4;No recurring injuries;High;4.6;22;0.2;0;0;0;0;0;0;0;0;0;0;1.1;1.1
Second Division;Valladolid;Ramón;D (R);D (R);D (RC);24;"6'1""";£11K - £12.75K p/w;£650K - £7.6M;Weak;Very Strong;7.02;2;1890;3;630;0.1;2.85;2.85;0.15;0.1;20%;0.19;0.7;0.3;0.1;40%;0;0;0;2;0.1;1.38;0.1;93%;46.0;0.0;0.3;3.0;0.1;0.0;0;0.1;0.0;0;0.1;9;0;3.4;18.4;0.3;3.2;2.3;43;14;1;0.7;0.9;0.2;5;1;0;10.6;5.6;No recurring injuries;Average;4.3;60;0.8;0;0;0;0;0;0;0;0;0;0;1.5;1.2
Serie BKT;Südtirol;Salvatore Molina;M (RL);;WB/M (RL);34;"5'10""";£12K - £17K p/w;£55K - £550K;Weak;Very Strong;6.75;0;1260;2;630;0.1;0.89;0.89;1.11;0.1;22%;0.0988888888888889;0.6;0.1;0.0;22%;0;0;0;1;0.1;1.57;0.1;69%;20.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0.0;15;0;0.0;0.0;1.9;0.0;0.0;75;36;0;0.0;0.0;0.0;22;0;0;0.0;0.0;No recurring injuries;Very Low;0.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0.0;0.0
Jupiler Pro League;Union SG;Christian Burgess;D (C);;D (C);35;"6'5""";£2.9K - £4.7K p/w;£65K - £650K;Weak;Very Strong;7.10;4;1890;3;630;0.1;0.84;0.84;2.16;0.0;33%;0.0933333333333333;0.4;0.2;0.1;56%;1;0;0;3;0.1;0.62;0.0;92%;42.1;0.1;0.3;1.9;0.0;0.0;0;0.0;0.0;0;0.0;1;0;3.5;15.0;0.9;2.1;2.2;90;21;2;0.8;1.3;0.9;15;5;0;10.2;4.1;No recurring injuries;Very Low;6.0;78;1.5;0;0;0;0;0;0;0;0;0;0;1.3;1.1
First Division;Burgos;Curro;AM (R);M (R), AM (L);M (RC), AM (RLC);30;"5'8""";£19.75K - £33K p/w;£5.8M - £9.4M;Very Strong;Fairly Strong;6.79;0;1264;2;632;0.1;2.22;2.22;-0.22;0.2;10%;0.105714285714286;1.5;0.6;0.5;43%;2;0;0;1;0.1;0.95;0.1;91%;44.9;0.2;1.3;3.6;11.3;2.1;18;4.6;1.1;25;4.8;16;4;17.7;4.3;2.1;2.1;9.4;88;33;0;0.5;0.6;0.0;20;4;0;11.4;14.2;No recurring injuries;Average;3.1;30;0.1;0;0;0;0;0;0;0;0;0;0;0.9;2.1
Serie BKT;Juve Stabia;Riccardo Fiamozzi;D (R);M (R);D/WB/M (R);33;"5'9""";£8K - £13.5K p/w;£35K - £350K;Weak;Very Strong;6.74;0;1267;2;633.5;0.1;0.58;0.58;1.42;0.0;25%;0.0725;0.6;0.1;0.0;13%;0;0;0;0;0.0;1.87;0.1;65%;21.3;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0.0;24;0;0.0;0.0;2.1;0.0;0.0;94;31;0;0.0;0.0;0.0;17;0;0;0.0;0.0;No recurring injuries;Very Low;0.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0.0;0.0
Bundesliga 2;Hamburger SV;Nicolai Remberg;DM, M (C);;DM, M (C);26;"6'2""";£29.5K - £42.5K p/w;£5.6M - £7.4M;Weak;Very Strong;7.03;0;1289;2;644.5;0.1;1.65;1.65;0.35;0.1;14%;0.117857142857143;1.0;0.3;0.3;36%;0;0;0;1;0.1;2.06;0.1;93%;57.9;0.0;0.6;5.1;0.1;0.1;50;0.1;0.1;50;0.1;15;2;4.8;15.2;1.3;2.4;6.9;90;20;0;0.4;0.3;0.1;16;3;1;11.7;11.7;No recurring injuries;Low;3.1;59;0.7;0;0;0;0;0;0;0;0;0;0;1.5;0.7
Second Division;Mallorca;Jon Guridi;M (C);AM (C);DM, M/AM (C);31;"5'10""";£11.5K - £17.25K p/w;£325K - £3.3M;Very Strong;Reasonable;6.67;0;1292;2;646;0.1;1.95;1.95;0.05;0.1;11%;0.108333333333333;1.3;0.3;0.4;28%;1;0;0;6;0.4;3.26;0.2;0%;0.0;0.3;0.4;0.0;0.0;0.0;0;0.0;0.0;0;0.0;6;0;12.5;15.3;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;1;1;0;0.0;0.0;No recurring injuries;High;0.0;0;0.0;0;0;0;0;0;0;0;0;0;0;1.5;0.7
Sky Bet Championship;Stoke;Million Manhoef;AM (R);;M/AM (RL);24;"5'10""";£23K - £33K p/w;£6.6M - £8.8M;Very Strong;Reasonable;6.88;1;1295;2;647.5;0.1;1.21;1.21;0.79;0.1;12%;0.0711764705882353;1.2;0.4;0.3;35%;1;0;0;0;0.0;1.12;0.1;92%;43.0;0.2;1.5;2.7;3.4;0.7;20;3.4;0.7;20;3.3;14;4;17.2;4.7;1.3;1.9;8.7;76;25;0;0.1;0.5;0.0;18;1;0;11.9;14.2;No recurring injuries;Below Average;2.8;27;0.0;0;0;0;0;0;0;0;0;0;0;1.0;1.6
Second Division;Córdoba;Isma Ruiz;DM;M (C);DM, M (C);25;"5'11""";£17.75K - £21K p/w;£4.8M - £9M;Reasonable;Very Strong;6.87;1;1310;2;655;0.1;2.64;2.64;-0.64;0.2;15%;0.203076923076923;0.9;0.5;0.1;54%;0;0;0;2;0.1;2.03;0.1;91%;25.8;0.5;0.3;2.4;0.0;0.0;0;0.0;0.0;0;0.1;10;0;10.0;13.3;0.8;1.7;3.4;80;15;0;0.2;0.3;0.1;7;0;0;5.7;5.6;No recurring injuries;Below Average;1.6;70;0.3;0;0;0;0;0;0;0;0;0;0;1.2;1.1
