Division;Player;Position;Age;Height;Left Foot;Right Foot;Rating;PoM;Minutes;Goals;Mins/Gl;xG;NP-xG;xG-OP;xG/90;Conv %;xG/shot;Shot/90;ShT/90;Shots From Outside The Box Per 90 minutes;Shot %;Goals From Outside The Box;Pens;Pen/R;Team Goals;Assists;xA;xA/90;Pas %;Ps A/90;Ch C/90;OP-KP/90;Pr passes/90;Crs A/90;Cr C/90;OP-Crs A/90;OP-Crs C/90;Drb/90;Off;Poss Lost/90;Poss Won/90;Tck/90;Int/90;Pres A/90;Tck R;Tck A;K Tck;Blk/90;Clr/90;Shts Blckd/90;Fouls Made;Yel;Red cards;Dist/90;Sprints/90;Recurring Injury;Injury Susceptibility;Aer A/90;Hdr %;K Hdrs/90;Clean Sheets;xGP;MLG;Sv %;Svh;Svp;Svt;Goals Conceded;Pens Faced;Pens Saved Ratio
Ligue 1 McDonald's;Quentin Merlin;D/WB/M/AM (L);24;"5'9""";Very Strong;Reasonable;6.94;1;2030;0;0;1.48;1.48;-1.48;0.1;0%;0.148;0.4;0.1;0.2;20%;0;0;0;28;5;3.96;0.2;92%;55.0;0.2;1.3;7.9;9.9;1.6;3.3;0.6;1.4;4;15.1;12.2;2.0;3.9;8.6;73;62;3;0.5;0.7;0.2;23;2;0;12.4;19.1;No recurring injuries;Below Average;2.7;45;0.0;0;0;0;0;0;0;0;0;0;0
Sky Bet Championship;Balázs Tóth;GK;28;"6'2""";Weak;Very Strong;6.78;5;3600;0;0;0;0;0;0.0;0%;0;0.0;0.0;0.0;0%;0;0;0;43;0;0;0.0;75%;23.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;8.9;3.5;0.0;0.0;0.0;0;4;0;0.0;2.8;0.0;0;0;0;5.4;0.0;No recurring injuries;Very Low;0.0;0;0.0;11;5;1;72;37;58;17;42;4;0
Sky Bet Championship;José Córdoba;D (C);24;"6'2""";Very Strong;Very Weak;6.81;2;3701;0;0;1.36;1.36;-1.36;0.0;0%;0.123636363636364;0.3;0.0;0.0;0%;0;0;0;54;3;1.56;0.0;91%;41.3;0.0;0.3;2.1;0.1;0.0;0.1;0.0;0.1;0;2.9;15.9;0.5;2.7;2.5;86;22;5;0.6;0.9;0.6;16;0;1;10.2;4.3;No recurring injuries;Above Average;5.7;78;1.0;0;0;0;0;0;0;0;0;0;0
Sky Bet Championship;Isaac Hayden;DM, M (C);31;"6'1""";Fairly Strong;Very Strong;6.86;0;2272;0;0;1.07;1.07;-1.07;0.0;0%;0.0823076923076923;0.5;0.0;0.2;8%;0;0;0;20;0;1.59;0.1;93%;53.0;0.1;0.8;3.9;0.2;0.1;0.2;0.1;0.0;2;6.7;10.1;1.1;2.9;5.4;60;47;6;0.6;1.0;0.4;10;2;0;11.4;11.5;No recurring injuries;High;2.3;50;0.4;0;0;0;0;0;0;0;0;0;0
Sky Bet Championship;Ryoya Morishita;M (C), AM (RLC);29;"5'7""";Fairly Strong;Very Strong;6.66;1;2238;4;559.5;3.87;3.87;0.13;0.2;13%;0.1209375;1.3;0.5;0.4;41%;0;0;0;25;0;2.93;0.1;87%;18.9;0.3;0.7;1.3;3.1;0.5;1.4;0.2;1.0;11;18.3;7.4;0.9;0.7;4.1;100;23;0;0.0;0.0;0.0;24;1;0;5.0;6.9;No recurring injuries;Below Average;1.8;24;0.0;0;0;0;0;0;0;0;0;0;0
Premier League;Rafik Guitane;AM (RC);26;"5'7""";Very Strong;Reasonable;6.93;3;2349;7;335.571428571429;5.78;5.78;1.22;0.2;18%;0.1445;1.5;0.7;0.5;45%;0;1;100;32;3;3.98;0.2;88%;45.7;0.3;1.8;3.8;1.5;0.2;1.5;0.2;2.6;4;16.9;7.2;0.6;2.0;5.0;80;20;0;0.3;0.3;0.0;5;0;0;12.2;10.9;No recurring injuries;High;2.1;7;0.1;0;0;0;0;0;0;0;0;0;0
Sky Bet Championship;Yuki Ohashi;AM (LC), ST (C);29;"5'11""";Fairly Strong;Very Strong;6.76;1;2392;7;341.714285714286;6.98;6.98;0.02;0.3;12%;0.118305084745763;2.2;0.9;0.5;41%;2;1;100;18;0;1.05;0.0;91%;31.1;0.1;1.2;1.1;0.4;0.1;0.4;0.1;0.7;15;24.0;1.5;0.3;0.6;2.1;89;9;0;0.1;0.2;0.0;18;5;0;9.9;8.1;No recurring injuries;Below Average;8.5;37;0.1;0;0;0;0;0;0;0;0;0;0
Second Division;Mickaël Malsa;DM, M (C);30;"5'10""";Weak;Very Strong;6.74;1;1950;3;650;2.09;2.09;0.91;0.1;21%;0.149285714285714;0.6;0.3;0.2;50%;0;0;0;18;1;2.43;0.1;91%;37.5;0.1;0.9;4.6;0.2;0.0;0.2;0.0;0.1;0;8.9;9.1;0.6;1.9;4.6;59;22;2;0.4;0.8;0.0;12;2;1;9.0;8.5;No recurring injuries;Average;1.6;51;0.1;0;0;0;0;0;0;0;0;0;0
Ligue 1 McDonald's;Tanner Tessmann;DM, M (C);24;"6'2""";Fairly Strong;Very Strong;6.72;1;2693;1;2693;2.52;2.52;-1.52;0.1;3%;0.0663157894736842;1.3;0.5;0.8;37%;2;0;0;33;1;3.03;0.1;92%;56.3;0.2;0.5;6.4;0.8;0.1;0.1;0.0;0.2;1;5.8;9.5;0.7;2.6;4.3;61;33;1;0.4;0.7;0.3;20;2;0;11.4;11.9;No recurring injuries;Average;2.5;64;0.7;0;0;0;0;0;0;0;0;0;0
Sky Bet Championship;Nathan Wood;D (C);23;"6'2""";Reasonable;Very Strong;6.89;0;2902;3;967.333333333333;2.48;2.48;0.52;0.1;19%;0.155;0.5;0.2;0.1;44%;0;0;0;42;2;1.29;0.0;88%;42.0;0.1;0.2;2.1;0.2;0.1;0.2;0.1;0.0;0;3.9;14.8;0.7;3.3;2.2;77;31;5;0.7;1.1;0.6;19;4;0;10.5;4.3;No recurring injuries;Below Average;5.3;73;1.3;0;0;0;0;0;0;0;0;0;0
Premier League;Santi García;M (C), AM (RC);24;"6'0""";Fairly Strong;Very Strong;6.78;0;2141;6;356.833333333333;3.83;3.83;2.17;0.2;14%;0.0911904761904762;1.8;0.7;0.8;38%;0;0;0;21;2;4.26;0.2;89%;43.4;0.3;1.7;3.3;2.1;0.4;2.1;0.4;2.1;5;16.1;10.0;1.0;1.6;6.9;71;34;0;0.3;0.5;0.0;22;2;0;11.5;12.2;No recurring injuries;Below Average;4.1;26;0.2;0;0;0;0;0;0;0;0;0;0
Bundesliga 2;Paul Joly;D/WB (R);25;"6'0""";Weak;Very Strong;6.76;1;2861;0;0;1.5;1.5;-1.5;0.0;0%;0.115384615384615;0.4;0.1;0.1;23%;0;0;0;24;2;4.75;0.1;85%;42.0;0.3;1.7;4.5;7.0;1.5;6.9;1.4;2.3;6;13.8;12.2;1.9;3.2;10.5;69;89;0;0.5;1.3;0.5;39;4;1;12.6;25.8;No recurring injuries;Below Average;4.0;65;0.5;0;0;0;0;0;0;0;0;0;0
Sky Bet Championship;Othmane Maamma;AM (R), ST (C);20;"5'11""";Fairly Strong;Very Strong;6.62;0;1329;4;332.25;4.09;3.28;-0.09;0.3;13%;0.131935483870968;2.1;1.0;0.6;48%;0;1;0;15;0;1.92;0.1;90%;31.8;0.0;1.0;1.5;1.7;0.3;1.7;0.3;2.6;8;20.9;1.9;0.6;1.2;4.8;82;11;0;0.1;0.5;0.0;13;3;0;11.7;10.1;No recurring injuries;Above Average;5.3;18;0.1;0;0;0;0;0;0;0;0;0;0
Premier League;Leonardo Lelo;D/WB/M (L);26;"5'9""";Very Strong;Weak;6.92;1;3998;1;3998;1.17;1.17;-0.17;0.0;8%;0.0975;0.3;0.1;0.1;33%;0;0;0;60;8;4.45;0.1;88%;54.2;0.2;1.6;5.8;11.7;2.0;6.8;1.2;2.7;7;14.3;12.4;2.4;3.1;10.2;79;136;4;0.7;0.7;0.7;38;1;0;12.0;23.4;No recurring injuries;Below Average;2.8;37;0.1;0;0;1;0;0;0;0;0;0;0
Bundesliga 2;Branimir Hrgota;AM (C), ST (C);33;"6'1""";Very Strong;Reasonable;6.89;4;2327;8;290.875;5.64;4.83;2.36;0.2;16%;0.110588235294118;2.0;0.8;0.7;39%;0;1;0;25;4;2.76;0.1;89%;40.5;0.3;2.3;3.1;1.5;0.2;0.8;0.1;1.2;10;20.6;9.6;0.7;1.1;4.8;69;26;2;0.2;0.4;0.0;17;1;0;11.7;9.5;No recurring injuries;Below Average;2.5;17;0.0;0;0;0;0;0;0;0;0;0;0
Bundesliga;Rav van den Berg;D (C);21;"6'3""";Weak;Very Strong;6.78;1;1545;0;0;0.81;0.81;-0.81;0.0;0%;0.162;0.3;0.0;0.1;0%;0;0;0;14;1;0.15;0.0;91%;42.3;0.1;0.2;1.5;0.2;0.1;0.2;0.1;0.1;0;4.0;12.3;0.5;3.6;2.2;82;11;5;1.0;1.0;0.3;6;2;0;10.2;3.8;No recurring injuries;Above Average;5.4;77;0.8;0;0;0;0;0;0;0;0;0;0
Sky Bet Championship;Lewis O'Brien;DM, M (C);27;"5'8""";Very Strong;Reasonable;6.81;0;3064;2;1532;1.88;1.88;0.12;0.1;10%;0.094;0.6;0.2;0.2;30%;2;0;0;36;0;3.76;0.1;92%;46.5;0.3;0.9;5.1;0.2;0.0;0.1;0.0;0.1;0;7.4;10.6;1.0;2.5;6.2;68;50;5;0.5;0.9;0.1;26;5;0;10.3;9.9;No recurring injuries;Low;1.3;40;0.1;0;0;0;0;0;0;0;0;0;0
Bundesliga;Tim Skarke;WB/M (R), AM (RL);29;"5'11""";Reasonable;Very Strong;6.84;1;2116;4;529;4.06;4.06;-0.06;0.2;9%;0.0922727272727273;1.9;0.6;0.6;30%;1;0;0;25;1;2.44;0.1;90%;45.2;0.2;1.9;3.5;3.4;0.5;3.4;0.5;5.2;13;21.4;4.0;1.3;2.1;9.8;67;45;1;0.3;0.5;0.0;34;2;0;11.5;16.5;No recurring injuries;Above Average;3.3;42;0.0;0;0;0;0;0;0;0;0;0;0
Ligue 2 BKT;Odion Ighalo;ST (C);36;"6'1""";Reasonable;Very Strong;6.80;1;1333;7;190.428571428571;7.39;7.39;-0.39;0.5;11%;0.113692307692308;4.4;1.8;1.0;42%;0;1;100;16;1;0.7;0.0;94%;24.4;0.1;1.0;0.8;0.3;0.1;0.3;0.1;0.4;8;18.2;2.2;0.1;0.6;1.4;40;5;0;0.1;0.1;0.0;11;2;0;10.6;5.9;Recurring moderate hamstring strain;Very High;8.6;27;0.1;0;0;0;0;0;0;0;0;0;0
Second Division;Lucas Noubi;D (RC);21;"6'0""";Weak;Very Strong;6.71;0;1921;0;0;1.07;1.07;-1.07;0.1;0%;0.107;0.5;0.1;0.1;20%;0;0;0;20;0;1.32;0.1;91%;42.0;0.1;0.3;2.4;0.4;0.0;0.4;0.0;0.0;0;5.6;11.6;0.7;2.7;2.8;83;18;2;0.4;0.8;0.4;13;4;0;9.6;4.1;No recurring injuries;Average;4.2;54;0.7;0;0;0;0;0;0;0;0;0;0
Bundesliga 2;John Tolkin;D/WB (L);23;"5'7""";Very Strong;Reasonable;6.80;2;2340;1;2340;0.97;0.97;0.03;0.0;17%;0.161666666666667;0.2;0.1;0.0;50%;0;0;0;36;4;2.51;0.1;88%;56.8;0.1;1.2;7.7;10.0;1.5;2.9;0.4;0.5;4;13.9;12.4;1.8;2.8;7.3;78;59;2;0.6;1.4;0.3;25;2;1;11.1;15.9;No recurring injuries;Average;3.2;51;0.3;0;0;0;0;0;0;0;0;0;0
Premier League;Yanis Begraoui;AM (R), ST (C);24;"5'10""";Fairly Strong;Very Strong;6.85;2;2626;11;238.727272727273;8.7;7.89;2.3;0.3;18%;0.145;2.1;1.3;0.5;63%;1;1;0;32;3;3.15;0.1;89%;29.3;0.1;0.9;0.7;0.2;0.1;0.2;0.1;0.7;17;20.3;2.1;0.2;1.0;1.1;83;6;0;0.1;0.2;0.0;23;0;0;11.0;6.2;No recurring injuries;Above Average;5.9;22;0.0;0;0;0;0;0;0;0;0;0;0
Jupiler Pro League;Nicolò Tresoldi;ST (C);21;"6'1""";Fairly Strong;Very Strong;6.83;1;1779;9;197.666666666667;7.57;6.76;1.43;0.4;12%;0.103698630136986;3.7;1.9;1.2;51%;1;3;67;23;3;1.9;0.1;89%;27.9;0.1;0.9;0.9;0.6;0.1;0.6;0.1;0.6;11;21.2;1.4;0.3;0.6;1.7;83;6;0;0.0;0.1;0.0;17;2;0;10.6;5.9;No recurring injuries;Below Average;7.8;29;0.1;0;0;0;0;0;0;0;0;0;0
Premier League;Fran Navarro;ST (C);28;"5'11""";Fairly Strong;Very Strong;6.75;0;1181;5;236.2;9.87;9.87;-4.87;0.8;7%;0.137083333333333;5.5;2.4;1.6;43%;3;0;0;15;0;0.88;0.1;89%;26.7;0.2;0.7;0.5;0.2;0.2;0.2;0.2;0.5;10;21.0;1.6;0.2;1.0;0.9;100;2;1;0.0;0.4;0.0;12;1;0;10.2;5.6;No recurring injuries;Below Average;7.2;34;0.0;0;0;0;0;0;0;0;0;0;0
Jupiler Pro League;Yira Sor;AM (RL), ST (C);25;"5'10""";Weak;Very Strong;6.88;3;2889;1;2889;2.56;2.56;-1.56;0.1;3%;0.0752941176470588;1.1;0.4;0.5;35%;1;0;0;37;5;1.86;0.1;89%;43.5;0.2;1.4;3.6;2.7;0.4;2.7;0.4;5.6;11;21.7;3.6;1.0;1.7;8.0;74;43;1;0.5;0.7;0.0;30;1;0;11.2;11.5;No recurring injuries;Above Average;4.0;16;0.0;0;0;0;0;0;0;0;0;0;0
Sky Bet Championship;Max Lowe;D/WB (L);29;"5'9""";Very Strong;Weak;6.75;0;3246;0;0;1.13;1.13;-1.13;0.0;0%;0.102727272727273;0.3;0.0;0.1;0%;0;0;0;36;3;3.14;0.1;88%;53.9;0.1;0.9;7.7;2.5;0.5;2.5;0.5;0.8;4;15.9;10.6;2.4;3.4;7.9;83;103;1;0.6;1.1;0.6;36;3;1;11.4;15.3;Recurring moderate groin strain;Very High;3.5;67;0.4;0;0;0;0;0;0;0;0;0;0
Ligue 1 McDonald's;Moses Simon;M/AM (L);30;"5'6""";Reasonable;Very Strong;6.97;3;2605;4;651.25;4.3;4.3;-0.3;0.1;9%;0.0934782608695652;1.6;0.7;0.7;41%;0;0;0;42;5;3.88;0.1;89%;45.4;0.2;2.0;4.1;3.9;0.7;3.9;0.7;4.3;10;17.8;5.6;2.2;2.7;11.2;83;76;2;0.3;0.6;0.1;31;0;0;11.5;14.1;No recurring injuries;Above Average;3.4;18;0.0;0;0;0;0;0;0;0;0;0;0
Jupiler Pro League;Aiham Ousou;D (C);26;"6'1""";Reasonable;Very Strong;6.68;1;2408;3;802.666666666667;3.24;3.24;-0.24;0.1;16%;0.170526315789474;0.7;0.3;0.1;37%;0;0;0;20;1;1.38;0.1;92%;42.9;0.1;0.1;1.2;0.0;0.0;0.0;0.0;0.0;0;3.7;13.2;0.6;2.5;2.6;71;21;4;0.7;1.5;1.0;18;9;3;10.5;3.7;No recurring injuries;Above Average;5.1;74;0.9;0;0;0;0;0;0;0;0;0;0
Eredivisie;Vítězslav Jaroš;GK;24;"6'3""";Weak;Very Strong;6.76;4;3540;0;0;0;0;0;0.0;0%;0;0.0;0.0;0.0;0%;0;0;0;58;0;0;0.0;87%;23.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;8.0;3.4;0.1;0.0;0.0;50;4;0;0.0;1.6;0.0;0;0;0;6.0;0.0;No recurring injuries;Above Average;0.0;0;0.0;12;5.28;1;71;21;55;14;38;4;50
Jupiler Pro League;Mads Pedersen;D/WB (L);29;"5'9""";Very Strong;Reasonable;6.61;0;2506;0;0;0.14;0.14;-0.14;0.0;0%;0.14;0.0;0.0;0.0;0%;0;0;0;30;2;3.14;0.1;87%;47.4;0.3;1.8;4.8;5.6;0.8;5.6;0.8;1.9;4;18.2;10.5;2.0;3.1;9.8;71;79;1;0.6;1.2;0.4;68;6;1;12.5;26.2;No recurring injuries;Average;2.4;54;0.1;0;0;0;0;0;0;0;0;0;0
Sky Bet Championship;Casper De Norre;DM, M (C);29;"5'9""";Weak;Very Strong;6.82;0;1674;1;1674;1.37;1.37;-0.37;0.1;5%;0.0721052631578947;1.0;0.1;0.3;5%;0;0;0;26;4;1.8;0.1;91%;50.7;0.2;0.9;5.4;0.9;0.1;0.2;0.1;0.2;0;6.1;14.4;0.9;3.0;6.5;94;17;2;0.7;1.0;0.1;3;0;0;12.0;11.5;No recurring injuries;Average;1.2;35;0.0;0;0;0;0;0;0;0;0;0;0
Sky Bet Championship;Jimmy Dunne;D (RC);28;"6'0""";Reasonable;Very Strong;6.90;2;4089;2;2044.5;1.98;1.98;0.02;0.0;10%;0.099;0.4;0.1;0.1;30%;4;0;0;49;2;3.02;0.1;88%;48.5;0.1;0.7;5.3;1.5;0.2;1.5;0.2;0.3;3;11.0;14.0;1.2;3.1;5.9;62;90;4;0.5;1.2;1.1;56;6;0;11.4;13.1;No recurring injuries;Low;5.5;71;1.1;0;0;0;0;0;0;0;0;0;0
Second Division;José Gragera;DM, M (C);26;"6'2""";Fairly Strong;Very Strong;6.76;0;2290;0;0;0.94;0.94;-0.94;0.0;0%;0.0854545454545454;0.4;0.0;0.3;0%;0;0;0;21;2;2.22;0.1;91%;51.8;0.3;1.1;5.8;0.0;0.0;0.0;0.0;0.2;0;7.2;11.7;1.5;2.3;5.5;85;46;6;0.6;0.7;0.2;16;1;0;11.3;10.4;No recurring injuries;Below Average;2.6;61;0.4;0;0;0;0;0;0;0;0;0;0
Bundesliga;Jahmai Simpson-Pusey;D (C);20;"6'2""";Fairly Strong;Very Strong;6.71;0;2173;1;2173;0.56;0.56;0.44;0.0;17%;0.0933333333333333;0.2;0.1;0.1;33%;0;0;0;24;0;0.38;0.0;92%;41.4;0.0;0.1;1.8;0.1;0.0;0.1;0.0;0.0;0;4.0;11.7;0.4;3.0;2.2;56;16;3;0.7;1.0;0.3;7;0;0;10.1;3.4;No recurring injuries;Above Average;5.2;69;1.2;0;0;1;0;0;0;0;0;0;0
Bundesliga;Damion Downs;AM (RL), ST (C);21;"6'4""";Strong;Very Strong;6.67;0;1369;5;273.8;1.81;1.81;3.19;0.1;24%;0.0861904761904762;1.4;0.7;0.5;48%;0;0;0;13;1;0.33;0.0;88%;26.8;0.1;0.5;0.2;0.2;0.1;0.2;0.1;1.0;13;26.0;1.0;0.1;0.9;1.5;100;1;0;0.2;0.1;0.0;15;0;0;10.4;6.2;No recurring injuries;Above Average;7.9;42;0.1;0;0;0;0;0;0;0;0;0;0
Premier League;Javi Sánchez;D (C);29;"6'2""";Fairly Strong;Very Strong;6.92;2;3164;2;1582;2.3;2.3;-0.3;0.1;7%;0.0851851851851852;0.8;0.2;0.3;22%;1;0;0;34;2;0.77;0.0;90%;47.4;0.1;0.1;2.0;0.1;0.0;0.1;0.0;0.1;0;2.8;15.4;0.7;3.0;3.0;96;25;7;0.8;1.0;0.7;12;7;0;9.9;4.6;No recurring injuries;High;4.4;72;0.6;0;0;0;0;0;0;0;0;0;0
Second Division;Clément Michelin;D/WB (R);29;"5'10""";Weak;Very Strong;6.75;2;1472;0;0;1.24;1.24;-1.24;0.1;0%;0.0953846153846154;0.8;0.2;0.3;23%;0;0;0;27;2;3.19;0.2;89%;51.7;0.2;0.9;6.5;3.1;0.6;2.1;0.5;0.7;2;14.0;12.4;1.4;2.6;6.8;77;30;1;0.4;1.0;0.2;24;4;0;11.7;16.2;No recurring injuries;High;4.6;50;0.2;0;0;1;0;0;0;0;0;0;0
Ligue 1 McDonald's;Brendan Chardonnet;D (C);31;"6'0""";Weak;Very Strong;6.87;4;2908;4;727;1.48;1.48;2.52;0.0;21%;0.0778947368421053;0.6;0.3;0.2;53%;0;0;0;48;2;2.14;0.1;94%;42.2;0.1;0.1;1.8;0.0;0.0;0.0;0.0;0.0;0;2.8;13.7;0.6;2.7;2.4;82;22;1;0.6;0.8;0.5;21;6;1;9.9;4.2;No recurring injuries;Below Average;5.2;74;1.1;0;0;0;0;0;0;0;0;0;0
Premier League;Zé Carlos;D/WB (R);27;"5'10""";Fairly Strong;Very Strong;6.78;0;2878;0;0;1.85;1.85;-1.85;0.1;0%;0.205555555555556;0.3;0.0;0.1;0%;0;0;0;22;0;1.49;0.0;88%;52.8;0.0;1.2;6.8;3.4;0.8;3.4;0.8;2.4;3;17.3;11.7;1.5;3.3;8.6;70;67;5;0.7;1.2;0.5;39;3;0;12.0;19.2;No recurring injuries;Below Average;3.5;51;0.3;0;0;0;0;0;0;0;0;0;0
Second Division;Salvi Sánchez;M/AM (R);35;"5'9""";Fairly Strong;Very Strong;6.88;3;2604;1;2604;4.92;4.92;-3.92;0.2;3%;0.123;1.4;0.5;0.6;35%;3;0;0;22;1;3.57;0.1;88%;42.0;0.2;2.1;3.8;4.0;0.8;4.0;0.8;4.9;12;21.2;4.5;1.3;1.8;9.4;75;52;1;0.2;0.7;0.0;22;0;0;12.0;16.0;No recurring injuries;Average;3.0;16;0.1;0;0;0;0;0;0;0;0;0;0
Second Division;Jorge Salinas;D (LC), WB (L);19;"5'11""";Very Strong;Weak;6.82;1;3781;0;0;0.52;0.52;-0.52;0.0;0%;0.0866666666666667;0.1;0.0;0.0;33%;0;0;0;49;1;3.11;0.1;88%;58.8;0.1;1.0;7.2;2.2;0.3;2.2;0.3;0.8;5;16.0;12.7;1.6;2.8;7.4;75;92;5;0.5;0.8;0.5;74;8;0;11.2;16.1;No recurring injuries;Below Average;4.5;58;0.7;0;0;0;0;0;0;0;0;0;0
Ligue 1 McDonald's;Tiago Santos;D/WB/M/AM (R);23;"5'9""";Weak;Very Strong;6.94;0;2889;1;2889;1.88;1.88;-0.88;0.1;4%;0.0783333333333333;0.7;0.3;0.4;42%;1;0;0;48;2;3.29;0.1;92%;67.2;0.2;1.2;10.2;2.5;0.5;2.5;0.5;1.2;7;11.3;12.7;2.1;2.9;8.3;83;81;2;0.2;0.6;0.0;27;0;0;11.6;16.4;No recurring injuries;Below Average;2.8;45;0.2;0;0;0;0;0;0;0;0;0;0
Premier League;Maracás;D (C);32;"6'0""";Reasonable;Very Strong;6.91;2;2830;2;1415;0.92;0.92;1.08;0.0;11%;0.0511111111111111;0.6;0.1;0.3;22%;0;0;0;31;2;1.5;0.0;92%;40.9;0.0;0.3;2.4;0.0;0.0;0.0;0.0;0.0;0;3.5;11.4;0.6;2.4;2.4;90;20;6;0.9;1.5;0.7;24;12;2;9.8;4.8;No recurring injuries;Below Average;6.2;77;0.9;0;0;0;0;0;0;0;0;0;0
Sky Bet Championship;Ben Davies;D (C);30;"6'1""";Very Strong;Reasonable;6.84;1;3810;0;0;1.58;1.58;-1.58;0.0;0%;0.121538461538462;0.3;0.0;0.1;8%;0;0;0;36;3;3.61;0.1;93%;43.7;0.0;0.2;1.9;0.0;0.0;0.0;0.0;0.0;0;3.7;14.0;0.6;2.1;2.4;73;33;2;0.5;1.2;0.3;20;3;0;9.4;3.3;No recurring injuries;Above Average;5.4;66;1.5;0;0;0;0;0;0;0;0;0;0
Jupiler Pro League;Christiaan Ravych;D (C);23;"6'4""";Reasonable;Very Strong;6.83;2;2815;0;0;1.09;1.09;-1.09;0.0;0%;0.0990909090909091;0.4;0.0;0.2;9%;0;0;0;40;0;0.73;0.0;90%;42.3;0.0;0.2;2.0;0.1;0.0;0.1;0.0;0.0;1;3.0;16.7;0.6;3.2;2.9;83;23;6;0.8;1.2;0.8;10;2;1;9.6;3.3;No recurring injuries;Average;5.8;64;1.2;0;0;0;0;0;0;0;0;0;0
Second Division;Mikel Goti;M/AM (RLC);24;"6'1""";Very Strong;Reasonable;6.96;3;2107;7;301;4.94;4.94;2.06;0.2;16%;0.109777777777778;1.9;0.9;0.4;49%;0;0;0;33;2;5.64;0.2;91%;42.0;0.2;1.5;3.0;9.0;1.9;2.0;0.6;3.6;12;15.5;5.5;1.3;2.0;9.4;86;36;2;0.3;0.8;0.0;32;4;0;11.3;12.0;No recurring injuries;Below Average;3.9;43;0.0;0;0;0;0;0;0;0;0;0;0
Premier League;Patrick Sequeira;GK;27;"6'3""";Reasonable;Very Strong;6.47;1;2970;0;0;0;0;0;0.0;0%;0;0.0;0.0;0.0;0%;0;0;0;28;0;0;0.0;78%;23.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;9.4;3.0;0.0;0.0;0.0;14;7;0;0.0;3.4;0.0;2;2;0;5.8;0.0;No recurring injuries;Low;0.0;0;0.0;4;-7.35;0;67;29;57;26;55;7;14
Sky Bet Championship;Fernando;DM, M (C);34;"5'9""";Weak;Very Strong;6.64;0;1215;0;0;0.64;0.64;-0.64;0.0;0%;0.16;0.3;0.0;0.0;0%;0;0;0;10;2;2.7;0.2;90%;53.3;0.4;1.0;5.6;0.7;0.1;0.1;0.0;0.1;0;5.4;11.9;1.2;2.4;5.8;76;21;3;0.5;0.7;0.4;6;2;0;11.4;10.1;No recurring injuries;Below Average;1.6;33;0.1;0;0;0;0;0;0;0;0;0;0
Premier League;Gabri Martínez;WB/M (L), AM (RL);23;"6'1""";Reasonable;Very Strong;6.88;2;2283;6;380.5;6.84;6.84;-0.84;0.3;10%;0.115932203389831;2.3;0.9;0.8;41%;1;0;0;38;2;2.82;0.1;87%;41.5;0.1;1.6;3.4;3.6;0.9;3.6;0.9;6.2;6;18.9;6.0;2.1;1.7;10.0;87;62;1;0.2;0.6;0.0;25;5;0;11.3;15.9;No recurring injuries;Below Average;4.5;17;0.2;0;0;1;0;0;0;0;0;0;0
Sky Bet Championship;Harry Clarke;D (RC), WB (R);25;"6'2""";Reasonable;Very Strong;6.73;0;2705;0;0;0.93;0.93;-0.93;0.0;0%;0.0845454545454545;0.4;0.0;0.1;9%;0;0;0;33;3;2.12;0.1;85%;46.1;0.3;1.2;5.7;5.4;1.2;5.4;1.2;2.1;5;12.2;10.8;1.8;3.3;9.3;77;69;1;0.6;0.9;0.3;43;4;1;12.2;22.2;No recurring injuries;Above Average;3.8;60;0.3;0;0;0;0;0;0;0;0;0;0
Jupiler Pro League;Tommy St. Jago;D (RC), WB (R);26;"6'2""";Weak;Very Strong;6.82;1;2743;2;1371.5;1.76;1.76;0.24;0.1;8%;0.0733333333333333;0.8;0.1;0.3;17%;0;0;0;32;2;2.81;0.1;90%;44.5;0.1;0.2;2.4;0.3;0.0;0.3;0.0;0.3;0;5.4;15.5;0.7;3.1;3.4;88;25;3;0.9;0.8;0.4;12;1;0;10.0;6.2;No recurring injuries;High;5.8;69;0.9;0;0;0;0;0;0;0;0;0;0
Second Division;Jokin Ezkieta;GK;29;"6'4""";Weak;Very Strong;6.84;5;3780;0;0;0;0;0;0.0;0%;0;0.0;0.0;0.0;0%;0;0;0;49;0;0;0.0;75%;23.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;8.6;3.4;0.0;0.0;0.0;14;7;0;0.0;3.0;0.0;1;1;0;5.6;0.0;No recurring injuries;Average;0.0;0;0.0;11;9.72;2;74;27;64;26;41;7;14
Sky Bet Championship;Aidan Morris;DM, M (C);24;"5'9""";Reasonable;Very Strong;6.85;0;2917;1;2917;2.54;2.54;-1.54;0.1;5%;0.127;0.6;0.1;0.3;15%;1;0;0;46;3;5.18;0.2;92%;54.2;0.2;0.8;5.2;0.2;0.1;0.2;0.1;0.1;1;4.9;12.9;1.0;2.6;6.3;72;47;4;0.4;0.7;0.1;36;2;1;10.7;10.9;Recurring torn anterior cruciate ligament;Very High;2.2;40;0.2;0;0;0;0;0;0;0;0;0;0
